id_aviso,fuente,tipo_operacion,tipo_inmueble,titulo,precio_uf,precio_clp,comuna,provincia,superficie_m2,dormitorios,banos,url,fecha_primera_vista,fecha_ultima_vista,historial_precios,latitud,longitud
DEMO-00893,demo,venta,casa,Casa 3D 2B en Concepción,3827.0,151166500,Concepción,Concepción,95 m²,3,2,https://example.invalid/demo/00893,2026-07-10,2026-08-22,2026-07-10:3827.0,-36.80911,-73.05572
DEMO-01997,demo,venta,casa,Casa 6D 4B en San Pedro de la Paz,13931.0,550274500,San Pedro de la Paz,Concepción,255 m²,6,4,https://example.invalid/demo/01997,2026-08-21,2026-09-01,2026-08-21:13931.0,-36.85418,-73.10019
DEMO-00807,demo,venta,casa,Casa 3D 2B en Concepción,6019.0,237750500,Concepción,Concepción,,3,2,https://example.invalid/demo/00807,2026-07-24,2026-08-11,2026-07-24:6200.0|2026-08-02:6019.0,-36.82897,-73.05791
DEMO-02884,demo,venta,casa,Casa 6D 4B en Tomé,7550.0,298225000,Tomé,Concepción,,6,4,https://example.invalid/demo/02884,2026-07-23,2026-09-01,2026-07-23:7550.0,-36.61556,-72.95757
DEMO-01131,demo,venta,departamento,Depto 2D 1B en Concepción,5508.0,217566000,Concepción,Concepción,,2,1,https://example.invalid/demo/01131,2026-05-11,2026-05-11,2026-05-11:5508.0,-36.82647,-73.04205
DEMO-02991,demo,venta,casa,Casa 3D 2B en Tomé,3791.0,149744500,Tomé,Concepción,98 m²,3,2,https://example.invalid/demo/02991,2026-08-17,2026-09-01,2026-08-17:3791.0,-36.61759,-72.95226
DEMO-01960,demo,venta,departamento,Depto 4D 2B en Penco,4266.0,168507000,Penco,Concepción,98 m²,4,2,https://example.invalid/demo/01960,2026-06-07,2026-07-10,2026-06-07:4266.0,-36.74341,-72.99351
DEMO-01749,demo,venta,departamento,Depto 3D 2B en Los Ángeles,3365.0,132917500,Los Ángeles,Biobío,84 m²,3,2,https://example.invalid/demo/01749,2026-05-21,2026-07-03,2026-05-21:3365.0,-37.4862,-72.35319
DEMO-00433,demo,venta,casa,Casa 6D 4B en Chiguayante,7963.0,314538500,Chiguayante,Concepción,240 m²,6,4,https://example.invalid/demo/00433,2026-05-29,2026-07-07,2026-05-29:7963.0,-36.91979,-73.01568
DEMO-02485,demo,venta,departamento,Depto 3D 2B en San Pedro de la Paz,4593.0,181423500,San Pedro de la Paz,Concepción,87 m²,3,2,https://example.invalid/demo/02485,2026-05-20,2026-07-04,2026-05-20:5144.0|2026-06-11:4593.0,-36.83588,-73.08102
DEMO-00670,demo,venta,departamento,Depto 2D 1B en Chiguayante,4765.0,188217500,Chiguayante,Concepción,62 m²,2,1,https://example.invalid/demo/00670,2026-06-13,2026-06-26,2026-06-13:4765.0,-36.91347,-73.01333
DEMO-03148,demo,venta,departamento,Depto 2D 1B en Tomé,2716.0,107282000,Tomé,Concepción,70 m²,2,1,https://example.invalid/demo/03148,2026-05-07,2026-05-09,2026-05-07:2716.0,-36.61512,-72.95079
DEMO-00241,demo,venta,casa,Casa 3D 2B en Chiguayante,3316.0,130982000,Chiguayante,Concepción,106 m²,3,2,https://example.invalid/demo/00241,2026-07-24,2026-08-29,2026-07-24:3217.0|2026-08-11:3316.0,-36.91445,-73.01329
DEMO-00126,demo,venta,casa,Casa 2D 1B en Chiguayante,2695.0,106452500,Chiguayante,Concepción,67 m²,2,1,https://example.invalid/demo/00126,2026-05-17,2026-06-12,2026-05-17:2695.0,-36.9253,-73.02984
DEMO-01304,demo,venta,departamento,Depto 3D 2B en Coronel,3582.0,141489000,Coronel,Concepción,78 m²,3,2,https://example.invalid/demo/01304,2026-07-04,2026-07-08,2026-07-04:3582.0,-37.01542,-73.14818
DEMO-00267,demo,venta,casa,Casa 3D 2B en Chiguayante,2146.0,84767000,Chiguayante,Concepción,,3,2,https://example.invalid/demo/00267,2026-08-11,2026-09-01,2026-08-11:2146.0,-36.9045,-73.02669
DEMO-01444,demo,venta,departamento,Depto 2D 1B en Hualpén,2132.0,84214000,Hualpén,Concepción,48 m²,2,1,https://example.invalid/demo/01444,2026-08-12,2026-08-24,2026-08-12:2132.0,-36.78889,-73.09059
DEMO-01167,demo,venta,departamento,Depto 2D 1B en Concepción,2267.0,89546500,Concepción,Concepción,43 m²,2,1,https://example.invalid/demo/01167,2026-07-11,2026-07-16,2026-07-11:2267.0,-36.82991,-73.06162
DEMO-02684,demo,venta,casa,Casa 6D 4B en Talcahuano,7143.0,282148500,Talcahuano,Concepción,198 m²,6,4,https://example.invalid/demo/02684,2026-06-20,2026-07-14,2026-06-20:8000.0|2026-07-02:7143.0,-36.73423,-73.09234
DEMO-02163,demo,venta,casa,Casa 6D 4B en San Pedro de la Paz,7012.0,276974000,San Pedro de la Paz,Concepción,200 m²,6,4,https://example.invalid/demo/02163,2026-07-31,2026-09-01,2026-07-31:7012.0,-36.82678,-73.09174
DEMO-00903,demo,venta,casa,Casa 5D 3B en Concepción,11639.0,459740500,Concepción,Concepción,185 m²,5,3,https://example.invalid/demo/00903,2026-08-06,2026-09-01,2026-08-06:11639.0,-36.83579,-73.0461
DEMO-00766,demo,venta,casa,Casa 6D 4B en Concepción,17777.0,702191500,Concepción,Concepción,258 m²,6,4,https://example.invalid/demo/00766,2026-05-27,2026-07-23,2026-05-27:17777.0,-36.83239,-73.0493
DEMO-00060,demo,arriendo,casa,Casa 4D 2B en Chiguayante,39.5,1560250,Chiguayante,Concepción,157 m²,4,2,https://example.invalid/demo/00060,2026-08-29,2026-09-01,2026-08-29:39.5,-36.91937,-73.00701
DEMO-01780,demo,venta,departamento,Depto 2D 1B en Los Ángeles,3118.0,123161000,Los Ángeles,Biobío,57 m²,2,1,https://example.invalid/demo/01780,2026-07-14,2026-08-19,2026-07-14:3118.0,-37.45734,-72.37046
DEMO-00741,demo,venta,casa,Casa 4D 2B en Concepción,7540.0,297830000,Concepción,Concepción,140 m²,4,2,https://example.invalid/demo/00741,2026-08-25,2026-09-01,2026-08-25:7540.0,-36.83027,-73.05093
DEMO-02653,demo,venta,casa,Casa 6D 4B en Talcahuano,9081.0,358699500,Talcahuano,Concepción,241 m²,6,4,https://example.invalid/demo/02653,2026-08-07,2026-08-29,2026-08-07:10171.0|2026-08-18:9081.0,-36.71081,-73.11274
DEMO-00398,demo,venta,casa,Casa 4D 2B en Chiguayante,8600.0,339700000,Chiguayante,Concepción,152 m²,4,2,https://example.invalid/demo/00398,2026-05-09,2026-06-01,2026-05-09:8600.0,-36.92197,-73.02645
DEMO-00530,demo,venta,departamento,Depto 4D 2B en Chiguayante,0,0,Chiguayante,Concepción,104 m²,4,2,https://example.invalid/demo/00530,2026-05-23,2026-06-12,2026-05-23:0,-36.92979,-73.01455
DEMO-01751,demo,venta,departamento,Depto 4D 2B en Los Ángeles,3921.0,154879500,Los Ángeles,Biobío,100 m²,4,2,https://example.invalid/demo/01751,2026-05-05,2026-06-25,2026-05-05:3921.0,-37.47509,-72.35614
DEMO-02557,demo,venta,casa,Casa 3D 2B en Santa Bárbara,3179.0,125570500,Santa Bárbara,Biobío,114 m²,3,2,https://example.invalid/demo/02557,2026-07-28,2026-09-01,2026-07-28:3179.0,-37.66681,-72.01901
DEMO-01234,demo,venta,casa,Casa 3D 2B en Coronel,2454.0,96933000,Coronel,Concepción,,3,2,https://example.invalid/demo/01234,2026-05-22,2026-07-07,2026-05-22:2454.0,-37.01691,-73.14964
DEMO-00673,demo,venta,departamento,Depto 2D 1B en Chiguayante,3741.0,147769500,Chiguayante,Concepción,,2,1,https://example.invalid/demo/00673,2026-07-27,2026-08-23,2026-07-27:3741.0,-36.91808,-73.02742
DEMO-02125,demo,venta,casa,Casa 2D 1B en San Pedro de la Paz,3718.0,146861000,San Pedro de la Paz,Concepción,85 m²,2,1,https://example.invalid/demo/02125,2026-05-04,2026-06-23,2026-05-04:3718.0,-36.84126,-73.10621
DEMO-02185,demo,venta,casa,Casa 5D 3B en San Pedro de la Paz,5535.0,218632500,San Pedro de la Paz,Concepción,174 m²,5,3,https://example.invalid/demo/02185,2026-06-17,2026-07-25,2026-06-17:5535.0,-36.8446,-73.10621
DEMO-01348,demo,venta,casa,Casa 3D 2B en Hualpén,4252.0,167954000,Hualpén,Concepción,105 m²,3,2,https://example.invalid/demo/01348,2026-08-18,2026-08-25,2026-08-18:4252.0,-36.78952,-73.07723
DEMO-03109,demo,venta,departamento,Depto 2D 1B en Tomé,2793.0,110323500,Tomé,Concepción,48 m²,2,1,https://example.invalid/demo/03109,2026-05-25,2026-07-02,2026-05-25:2793.0,-36.62493,-72.95701
DEMO-02637,demo,venta,casa,Casa 6D 4B en Talcahuano,9078.0,358581000,Talcahuano,Concepción,243 m²,6,4,https://example.invalid/demo/02637,2026-09-01,2026-09-01,2026-09-01:9078.0,-36.72545,-73.12004
DEMO-01307,demo,venta,casa,Casa 2D 1B en Florida,1294.0,51113000,Florida,Concepción,76 m²,2,1,https://example.invalid/demo/01307,2026-07-01,2026-07-16,2026-07-01:1294.0,-36.82361,-72.66371
DEMO-00886,demo,venta,casa,Casa 4D 2B en Concepción,5050.0,199475000,Concepción,Concepción,142 m²,4,2,https://example.invalid/demo/00886,2026-06-22,2026-08-11,2026-06-22:5050.0,-36.82574,-73.05258
DEMO-00286,demo,venta,casa,Casa 4D 2B en Chiguayante,7155.0,282622500,Chiguayante,Concepción,136 m²,4,2,https://example.invalid/demo/00286,2026-07-18,2026-09-01,2026-07-18:7155.0,-36.92358,-73.02818
DEMO-01639,demo,venta,casa,Casa 5D 3B en Los Ángeles,3697.0,146031500,Los Ángeles,Biobío,169 m²,5,3,https://example.invalid/demo/01639,2026-07-04,2026-08-23,2026-07-04:3697.0,-37.48387,-72.32899
DEMO-00754,demo,venta,casa,Casa 6D 4B en Concepción,11155.0,440622500,Concepción,Concepción,230 m²,6,4,https://example.invalid/demo/00754,2026-06-11,2026-06-20,2026-06-11:11155.0,-36.8175,-73.06325
DEMO-00622,demo,venta,departamento,Depto 2D 1B en Chiguayante,3834.0,151443000,Chiguayante,Concepción,54 m²,2,1,https://example.invalid/demo/00622,2026-05-12,2026-06-30,2026-05-12:3834.0,-36.91787,-73.0156
DEMO-01060,demo,venta,departamento,Depto 2D 1B en Concepción,2944.0,116288000,Concepción,Concepción,60 m²,2,1,https://example.invalid/demo/01060,2026-08-12,2026-08-16,2026-08-12:2944.0,-36.82584,-73.04192
DEMO-01063,demo,venta,departamento,Depto 4D 2B en Concepción,9037.0,356961500,Concepción,Concepción,110 m²,4,2,https://example.invalid/demo/01063,2026-08-31,2026-09-01,2026-08-31:9037.0,-36.81841,-73.05487
DEMO-02294,demo,venta,departamento,Depto 3D 2B en San Pedro de la Paz,6156.0,243162000,San Pedro de la Paz,Concepción,79 m²,3,2,https://example.invalid/demo/02294,2026-05-13,2026-07-02,2026-05-13:6156.0,-36.85199,-73.0873
DEMO-01291,demo,venta,casa,Casa 6D 4B en Coronel,5769.0,227875500,Coronel,Concepción,219 m²,6,4,https://example.invalid/demo/01291,2026-07-27,2026-08-24,2026-07-27:5769.0,-37.01574,-73.13952
DEMO-00462,demo,venta,departamento,Depto 2D 1B en Chiguayante,3554.0,140383000,Chiguayante,Concepción,64 m²,2,1,https://example.invalid/demo/00462,2026-07-23,2026-08-09,2026-07-23:3554.0,-36.91151,-73.01855
DEMO-00028,demo,venta,casa,Casa 6D 4B en Cañete,2612.0,103174000,Cañete,Arauco,193 m²,6,4,https://example.invalid/demo/00028,2026-07-09,2026-08-21,2026-07-09:2612.0,-37.79385,-73.40285
DEMO-02567,demo,venta,casa,Casa 2D 1B en Santa Juana,1372.0,54194000,Santa Juana,Concepción,,2,1,https://example.invalid/demo/02567,2026-06-20,2026-07-31,2026-06-20:1372.0,-37.17916,-72.93609
DEMO-00947,demo,venta,casa,Casa 5D 3B en Concepción,7158.0,282741000,Concepción,Concepción,166 m²,5,3,https://example.invalid/demo/00947,2026-06-02,2026-08-01,2026-06-02:7158.0,-36.83418,-73.03381
DEMO-01533,demo,arriendo,casa,Casa 5D 3B en Los Ángeles,23.8,940100,Los Ángeles,Biobío,164 m²,5,3,https://example.invalid/demo/01533,2026-05-18,2026-06-09,2026-05-18:23.8,-37.46085,-72.36021
DEMO-02747,demo,venta,departamento,Depto 3D 2B en Talcahuano,4888.0,193076000,Talcahuano,Concepción,85 m²,3,2,https://example.invalid/demo/02747,2026-07-28,2026-08-14,2026-07-28:4888.0,-36.73085,-73.09987
DEMO-01275,demo,venta,casa,Casa 6D 4B en Coronel,5046.0,199317000,Coronel,Concepción,200 m²,6,4,https://example.invalid/demo/01275,2026-06-09,2026-06-11,2026-06-09:5046.0,-37.00864,-73.15767
DEMO-00219,demo,venta,casa,Casa 6D 4B en Chiguayante,7284.0,287718000,Chiguayante,Concepción,208 m²,6,4,https://example.invalid/demo/00219,2026-08-21,2026-09-01,2026-08-21:7503.0|2026-08-26:7284.0,-36.92504,-73.02339
DEMO-01968,demo,venta,departamento,Depto 4D 2B en Penco,4109.0,162305500,Penco,Concepción,100 m²,4,2,https://example.invalid/demo/01968,2026-07-20,2026-08-05,2026-07-20:4109.0,-36.74184,-72.99222
DEMO-02384,demo,venta,departamento,Depto 4D 2B en San Pedro de la Paz,8476.0,334802000,San Pedro de la Paz,Concepción,116 m²,4,2,https://example.invalid/demo/02384,2026-05-18,2026-05-19,2026-05-18:8476.0,-36.85385,-73.0984
DEMO-02168,demo,venta,casa,Casa 4D 2B en San Pedro de la Paz,8442.0,333459000,San Pedro de la Paz,Concepción,152 m²,4,2,https://example.invalid/demo/02168,2026-05-13,2026-05-27,2026-05-13:8442.0,-36.85459,-73.09475
DEMO-00748,demo,venta,casa,Casa 5D 3B en Concepción,7433.0,293603500,Concepción,Concepción,159 m²,5,3,https://example.invalid/demo/00748,2026-05-17,2026-06-07,2026-05-17:7433.0,-36.80806,-73.08617
DEMO-00408,demo,venta,casa,Casa 6D 4B en Chiguayante,7840.0,309680000,Chiguayante,Concepción,259 m²,6,4,https://example.invalid/demo/00408,2026-07-01,2026-07-26,2026-07-01:7840.0,-36.92842,-73.0087
DEMO-00856,demo,venta,casa,Casa 6D 4B en Concepción,8847.0,349456500,Concepción,Concepción,231 m²,6,4,https://example.invalid/demo/00856,2026-05-25,2026-06-10,2026-05-25:8847.0,-36.83248,-73.07085
DEMO-02312,demo,venta,departamento,Depto 3D 2B en San Pedro de la Paz,3758.0,148441000,San Pedro de la Paz,Concepción,74 m²,3,2,https://example.invalid/demo/02312,2026-08-20,2026-09-01,2026-08-20:3758.0,-36.8468,-73.09533
DEMO-01933,demo,venta,casa,Casa 5D 3B en Penco,3352.0,132404000,Penco,Concepción,,5,3,https://example.invalid/demo/01933,2026-05-28,2026-07-21,2026-05-28:3352.0,-36.73797,-72.97475
DEMO-01678,demo,venta,casa,Casa 6D 4B en Los Ángeles,6483.0,256078500,Los Ángeles,Biobío,215 m²,6,4,https://example.invalid/demo/01678,2026-05-13,2026-05-31,2026-05-13:7002.0|2026-05-22:6483.0,-37.45564,-72.35641
DEMO-00833,demo,venta,casa,Casa 6D 4B en Concepción,10055.0,397172500,Concepción,Concepción,275 m²,6,4,https://example.invalid/demo/00833,2026-08-08,2026-08-17,2026-08-08:10055.0,-36.84004,-73.05783
DEMO-01917,demo,venta,casa,Casa 3D 2B en Penco,3715.0,146742500,Penco,Concepción,117 m²,3,2,https://example.invalid/demo/01917,2026-07-13,2026-07-28,2026-07-13:3715.0,-36.73387,-72.99323
DEMO-03008,demo,venta,casa,Casa 4D 2B en Tomé,2703.0,106768500,Tomé,Concepción,154 m²,4,2,https://example.invalid/demo/03008,2026-08-13,2026-09-01,2026-08-13:2703.0,-36.64119,-72.96505
DEMO-02691,demo,venta,casa,Casa 6D 4B en Talcahuano,7172.0,283294000,Talcahuano,Concepción,195 m²,6,4,https://example.invalid/demo/02691,2026-07-24,2026-08-23,2026-07-24:7172.0,-36.71642,-73.10124
DEMO-00338,demo,venta,casa,Casa 4D 2B en Chiguayante,4567.0,180396500,Chiguayante,Concepción,,4,2,https://example.invalid/demo/00338,2026-08-10,2026-08-10,2026-08-10:4567.0,-36.89551,-72.99658
DEMO-02340,demo,venta,departamento,Depto 2D 1B en San Pedro de la Paz,2598.0,102621000,San Pedro de la Paz,Concepción,57 m²,2,1,https://example.invalid/demo/02340,2026-05-15,2026-07-03,2026-05-15:2598.0,-36.84006,-73.09379
DEMO-01824,demo,venta,departamento,Depto 3D 2B en Los Ángeles,2991.0,118144500,Los Ángeles,Biobío,,3,2,https://example.invalid/demo/01824,2026-05-27,2026-07-15,2026-05-27:2991.0,-37.47346,-72.37127
DEMO-00590,demo,venta,departamento,Depto 2D 1B en Chiguayante,3585.0,141607500,Chiguayante,Concepción,65 m²,2,1,https://example.invalid/demo/00590,2026-07-18,2026-07-30,2026-07-18:3585.0,-36.91445,-73.02236
DEMO-02511,demo,venta,departamento,Depto 2D 1B en San Pedro de la Paz,4017.0,158671500,San Pedro de la Paz,Concepción,62 m²,2,1,https://example.invalid/demo/02511,2026-06-20,2026-07-01,2026-06-20:4218.0|2026-06-25:4017.0,-36.85051,-73.07335
DEMO-01884,demo,venta,casa,Casa 2D 1B en Penco,2371.0,93654500,Penco,Concepción,83 m²,2,1,https://example.invalid/demo/01884,2026-08-31,2026-09-01,2026-08-31:2371.0,-36.73521,-72.99081
DEMO-01717,demo,venta,departamento,Depto 2D 1B en Los Ángeles,2155.0,85122500,Los Ángeles,Biobío,53 m²,2,1,https://example.invalid/demo/01717,2026-07-10,2026-07-30,2026-07-10:2155.0,-37.45743,-72.34535
DEMO-00833,demo,venta,casa,Casa 6D 4B en Concepción,10055.0,397172500,Concepción,Concepción,275 m²,6,4,https://example.invalid/demo/00833,2026-08-08,2026-08-17,2026-08-08:10055.0,-36.84004,-73.05783
DEMO-02439,demo,venta,departamento,Depto 3D 2B en San Pedro de la Paz,3997.0,157881500,San Pedro de la Paz,Concepción,76 m²,3,2,https://example.invalid/demo/02439,2026-08-18,2026-09-01,2026-08-18:3997.0,-36.83742,-73.07543
DEMO-01635,demo,venta,casa,Casa 6D 4B en Los Ángeles,6682.0,263939000,Los Ángeles,Biobío,213 m²,6,4,https://example.invalid/demo/01635,2026-05-23,2026-07-04,2026-05-23:6682.0,-37.45732,-72.3366
DEMO-01853,demo,venta,departamento,Depto 3D 2B en Los Ángeles,4022.0,158869000,Los Ángeles,Biobío,85 m²,3,2,https://example.invalid/demo/01853,2026-08-31,2026-09-01,2026-08-31:4022.0,-37.47568,-72.33779
DEMO-02273,demo,venta,departamento,Depto 4D 2B en San Pedro de la Paz,5123.0,202358500,San Pedro de la Paz,Concepción,107 m²,4,2,https://example.invalid/demo/02273,2026-06-10,2026-07-10,2026-06-10:5123.0,-36.85675,-73.08922
DEMO-00414,demo,venta,casa,Casa 3D 2B en Chiguayante,2654.0,104833000,Chiguayante,Concepción,116 m²,3,2,https://example.invalid/demo/00414,2026-07-23,2026-08-05,2026-07-23:2654.0,-36.89462,-73.01474
DEMO-00102,demo,venta,casa,Casa 4D 2B en Chiguayante,7656.0,302412000,Chiguayante,Concepción,139 m²,4,2,https://example.invalid/demo/00102,2026-05-14,2026-06-14,2026-05-14:8039.0|2026-05-29:7656.0,-36.92355,-73.01247
DEMO-00374,demo,venta,casa,Casa 5D 3B en Chiguayante,9080.0,358660000,Chiguayante,Concepción,187 m²,5,3,https://example.invalid/demo/00374,2026-05-09,2026-07-07,2026-05-09:9080.0,-36.94018,-73.02258
DEMO-01863,demo,venta,departamento,Depto 3D 2B en Los Ángeles,2845.0,112377500,Los Ángeles,Biobío,87 m²,3,2,https://example.invalid/demo/01863,2026-06-15,2026-07-26,2026-06-15:2845.0,-37.46038,-72.35629
DEMO-00107,demo,venta,casa,Casa 5D 3B en Chiguayante,4336.0,171272000,Chiguayante,Concepción,174 m²,5,3,https://example.invalid/demo/00107,2026-05-30,2026-07-21,2026-05-30:4336.0,-36.9252,-73.02203
DEMO-01604,demo,venta,casa,Casa 3D 2B en Los Ángeles,3226.0,127427000,Los Ángeles,Biobío,114 m²,3,2,https://example.invalid/demo/01604,2026-08-26,2026-09-01,2026-08-26:3226.0,-37.47836,-72.37915
DEMO-01930,demo,venta,casa,Casa 4D 2B en Penco,3627.0,143266500,Penco,Concepción,126 m²,4,2,https://example.invalid/demo/01930,2026-05-14,2026-06-02,2026-05-14:3627.0,-36.75548,-72.99142
DEMO-02207,demo,venta,casa,Casa 5D 3B en San Pedro de la Paz,7579.0,299370500,San Pedro de la Paz,Concepción,183 m²,5,3,https://example.invalid/demo/02207,2026-06-11,2026-06-15,2026-06-11:7579.0,-36.82996,-73.05591
DEMO-00745,demo,venta,casa,Casa 3D 2B en Concepción,6969.0,275275500,Concepción,Concepción,122 m²,3,2,https://example.invalid/demo/00745,2026-06-06,2026-07-14,2026-06-06:6969.0,-36.82339,-73.04564
DEMO-00152,demo,venta,casa,Casa 5D 3B en Chiguayante,8375.0,330812500,Chiguayante,Concepción,173 m²,5,3,https://example.invalid/demo/00152,2026-08-13,2026-09-01,2026-08-13:8794.0|2026-08-22:8375.0,-36.91029,-73.00375
DEMO-01994,demo,arriendo,casa,Casa 5D 3B en San Pedro de la Paz,27.0,1066500,San Pedro de la Paz,Concepción,183 m²,5,3,https://example.invalid/demo/01994,2026-08-19,2026-09-01,2026-08-19:27.0,-36.8328,-73.0902
DEMO-02492,demo,venta,departamento,Depto 2D 1B en San Pedro de la Paz,2511.0,99184500,San Pedro de la Paz,Concepción,,2,1,https://example.invalid/demo/02492,2026-07-12,2026-08-11,2026-07-12:2511.0,-36.85532,-73.08356
DEMO-01577,demo,venta,casa,Casa 3D 2B en Los Ángeles,4272.0,168744000,Los Ángeles,Biobío,106 m²,3,2,https://example.invalid/demo/01577,2026-08-09,2026-08-14,2026-08-09:4272.0,-37.48734,-72.33897
DEMO-00070,demo,venta,casa,Casa 5D 3B en Chiguayante,6821.0,269429500,Chiguayante,Concepción,161 m²,5,3,https://example.invalid/demo/00070,2026-07-02,2026-08-04,2026-07-02:6821.0,-36.92805,-73.01594
DEMO-02445,demo,venta,departamento,Depto 4D 2B en San Pedro de la Paz,5833.0,230403500,San Pedro de la Paz,Concepción,104 m²,4,2,https://example.invalid/demo/02445,2026-08-10,2026-09-01,2026-08-10:5833.0,-36.85595,-73.09541
DEMO-02955,demo,venta,casa,Casa 5D 3B en Tomé,5873.0,231983500,Tomé,Concepción,168 m²,5,3,https://example.invalid/demo/02955,2026-06-15,2026-06-23,2026-06-15:5873.0,-36.61879,-72.9474
DEMO-02494,demo,venta,departamento,Depto 3D 2B en San Pedro de la Paz,4604.0,181858000,San Pedro de la Paz,Concepción,,3,2,https://example.invalid/demo/02494,2026-05-07,2026-06-07,2026-05-07:4604.0,-36.85717,-73.08301
DEMO-01200,demo,venta,departamento,Depto 3D 2B en Concepción,5026.0,198527000,Concepción,Concepción,73 m²,3,2,https://example.invalid/demo/01200,2026-06-23,2026-07-10,2026-06-23:5026.0,-36.83059,-73.04624
DEMO-01845,demo,venta,departamento,Depto 4D 2B en Los Ángeles,6528.0,257856000,Los Ángeles,Biobío,118 m²,4,2,https://example.invalid/demo/01845,2026-08-14,2026-09-01,2026-08-14:6528.0,-37.46323,-72.35134
DEMO-02875,demo,venta,casa,Casa 4D 2B en Tomé,2807.0,110876500,Tomé,Concepción,129 m²,4,2,https://example.invalid/demo/02875,2026-06-10,2026-06-10,2026-06-10:2807.0,-36.61995,-72.94071
DEMO-01817,demo,venta,departamento,Depto 3D 2B en Los Ángeles,2382.0,94089000,Los Ángeles,Biobío,73 m²,3,2,https://example.invalid/demo/01817,2026-08-23,2026-09-01,2026-08-23:2382.0,-37.47849,-72.35203
DEMO-01592,demo,venta,casa,Casa 3D 2B en Los Ángeles,3932.0,155314000,Los Ángeles,Biobío,108 m²,3,2,https://example.invalid/demo/01592,2026-05-26,2026-07-17,2026-05-26:3932.0,-37.45485,-72.34059
DEMO-00885,demo,venta,casa,Casa 2D 1B en Concepción,3988.0,157526000,Concepción,Concepción,70 m²,2,1,https://example.invalid/demo/00885,2026-05-16,2026-05-18,2026-05-16:3988.0,-36.83306,-73.03194
DEMO-01329,demo,venta,casa,Casa 6D 4B en Hualpén,7544.0,297988000,Hualpén,Concepción,,6,4,https://example.invalid/demo/01329,2026-06-27,2026-07-29,2026-06-27:7544.0,-36.7925,-73.09244
DEMO-01338,demo,venta,casa,Casa 3D 2B en Hualpén,5252.0,207454000,Hualpén,Concepción,114 m²,3,2,https://example.invalid/demo/01338,2026-08-29,2026-09-01,2026-08-29:5252.0,-36.79808,-73.08041
DEMO-01528,demo,venta,casa,Casa 4D 2B en Hualqui,2312.0,91324000,Hualqui,Concepción,,4,2,https://example.invalid/demo/01528,2026-08-03,2026-08-21,2026-08-03:2312.0,-36.97459,-72.95339
DEMO-03033,demo,venta,casa,Casa 6D 4B en Tomé,7047.0,278356500,Tomé,Concepción,240 m²,6,4,https://example.invalid/demo/03033,2026-06-18,2026-06-18,2026-06-18:7047.0,-36.62812,-72.94857
