url,cerca_biotren,cerca_colegio,cerca_parque,cerca_salud,cerca_supermercado,cerca_universidad,dist_biotren,dist_colegio,dist_parque,dist_salud,dist_supermercado,dist_universidad,sol_calidad,sol_calle,sol_edificios,sol_fuente,sol_horas_luz,sol_p10,sol_p3,sol_p6
https://example.invalid/demo/02490,Juan Pablo II,Deutsche Schule Concepción,,Ex Clínica Universitaria San Pedro,Unimarc,AIEP,1349,206,326,504,493,3550,0.68,6.5,28,demo,9.5,8.5,7.2,7.7
https://example.invalid/demo/00893,Terminal de Buses Jota Ewert,Escuela Parvularia Blanca Estela,,CESFAM Tucapel,Super Ganga,Universidad San Sebastián,1100,256,148,172,393,960,0.65,3.8,34,demo,9.5,7.7,6.3,7.2
https://example.invalid/demo/01997,Juan Pablo II,Colegio Santísima Trinidad,,Ex Clínica Universitaria San Pedro,Unimarc,INACAP San Pedro de la Paz,1752,184,441,1066,574,2763,0.72,7.2,32,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/00807,Estación Intermodal Concepción,Colegio Carmela Romero de Espinosa,Plaza España,Dental Art,Lider,Instituto Profesional Valle Central,257,82,107,78,241,192,0.63,4.8,30,demo,9.5,9.0,6.5,8.7
https://example.invalid/demo/02884,,Escuela Especial Tomé,Plaza Arturo Prat,Hospital de Tomé,Unimarc,,3210,169,175,363,433,,0.69,2.2,32,demo,9.5,9.2,8.0,8.3
https://example.invalid/demo/01131,,Colegio Einstein Concepcion,Plaza Perú,Centro Clínico Docente en Oftalmología,Santa Isabel,Universidad Bolivariana,483,247,190,64,161,130,0.84,5.7,32,demo,9.5,9.0,6.8,8.0
https://example.invalid/demo/02991,,Liceo Ecuador,Plaza Arturo Prat,Hospital de Tomé,Acuenta,,2908,135,468,516,390,,0.74,5.2,27,demo,9.5,9.5,8.0,9.5
https://example.invalid/demo/01960,Lirquén,Escuela Penco,,CESFAM Penco,Gabito,,3494,143,284,627,269,,0.68,0.5,34,demo,9.5,6.8,0.8,6.2
https://example.invalid/demo/01749,Terminal Santa Rita,Colegio Beato Damian de Molokai,,Consultorio,Supermercado Unico,Instituto Santo Tomás,2107,385,325,1171,346,1563,0.5,6.3,36,demo,9.5,7.7,7.0,7.7
https://example.invalid/demo/00433,Pedro Medina,Colegio de Lenguaje Senderos de BioBio,,Cruz Roja Filial Chiguayante,Super Ganga,,831,645,567,1312,1051,,0.7,4.7,33,demo,9.5,7.0,6.3,7.0
https://example.invalid/demo/02485,Juan Pablo II,Escuela de Lenguaje Llacolén,Plaza Bellavista,Centro de Salud Familiar Juan Soto Fernández,Super Gangas,Univesidad Santo Tomás Concepción,1536,976,627,1506,1223,2010,0.62,8.5,32,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/00670,Estación de buses Turbus,Colegio John F. Kennedy,,Cruz Roja Filial Chiguayante,Supermercado Monika,,1365,1074,1175,1275,1368,,0.74,7.2,39,demo,9.5,8.0,7.5,7.8
https://example.invalid/demo/03148,,Liceo República del Ecuador,"Plaza Inclusiva ""Samuel Muñoz""",Hospital de Tomé,Acuenta,,3170,216,546,395,679,,0.81,1.3,36,demo,9.5,6.7,3.7,5.3
https://example.invalid/demo/00241,Estación de buses Turbus,Colegio John F. Kennedy,,Cruz Roja Filial Chiguayante,Supermercado Monika,,1360,1089,1094,1289,1367,,0.83,5.7,35,demo,9.5,6.7,5.7,5.8
https://example.invalid/demo/00126,Pedro Medina,Liceo Chiguayante,,Policlínico Chiguayante,Super Ganga,,751,267,55,82,358,,0.78,5.8,32,demo,9.5,6.7,6.5,6.5
https://example.invalid/demo/01304,Laguna Quiñenco,Escuela Javiera Carrera,,CESFAM Yobilo,SuperBodega aCuenta,,931,456,380,396,995,2087,0.76,0.7,34,demo,9.5,5.3,2.7,2.8
https://example.invalid/demo/00267,Estación de buses Turbus,Colegio Chileno Árabe,Plaza de Armas de Chiguayante,Cruz Roja Filial Chiguayante,Unimarc,,1161,120,379,927,851,,0.71,8.3,28,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/01444,Universidad Técnica Federico Santa María,Escuela Especial de Lenguaje Villa Hermosa,,CESFAM Talcahuano Sur,Alvi,CEDUC UCN Hualpén,712,155,164,1201,169,653,0.74,4.8,34,demo,9.5,6.8,5.2,5.3
https://example.invalid/demo/01167,Concepción,Escuela Óscar Castro Zúñiga,Parque Bicentenario,Integramédica,Lider,Univesidad Santo Tomás Concepción,59,196,223,242,154,360,0.69,5.3,32,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/02684,Hospital Las Higueras,Escuela Santa Clara,,Instituto de Seguridad del Trabajo de Talcahuano,Supermercado Ganga,Universidad Católica de la Santísima Concepción Talcahuano,1088,637,358,1301,1040,1072,0.7,7.8,33,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/02163,Juan Pablo II,,Plaza Enrique Soro,Ex Clínica Universitaria San Pedro,Bio Pan,Instituto Santo Tomás,1403,1145,935,2106,1251,2674,0.67,7.0,33,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/00903,,Liceo Polivalente Experimental Lucila Godoy Alcayaga,Parque Metropolitano Cerro Caracol,Clínica dental: Radio Dent,Emporio Agrícola,Universidad de las Américas,614,505,247,464,686,604,0.55,8.2,38,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/00766,,Liceo Polivalente Experimental Lucila Godoy Alcayaga,Parque Ecuador,Clínica dental: Radio Dent,Emporio Agrícola,Universidad de las Américas Concepcion,608,39,160,149,277,179,0.58,5.0,33,demo,9.5,8.5,6.5,8.0
https://example.invalid/demo/00060,Pedro Medina,Colegio de Lenguaje Senderos de BioBio,,Cruz Roja Filial Chiguayante,Unimarc,,1462,1295,1321,1972,1776,,0.8,8.2,35,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/01780,Terminal de Buses Rurales Vega Techada,Escuela Particular Juan Pablo II,,CESFAM Norte,Supermercado Acuenta,Centro Integral de Educación Tecnológica Curamávida,2296,194,351,1069,1068,716,0.61,5.8,31,demo,9.5,8.5,6.7,7.3
https://example.invalid/demo/00741,,Liceo de Niñas,,Clínica odontológica Andes,Supermercado Versluys,Instituto Superior de Comercio de Concepción (INSUCO),730,34,259,55,237,99,0.79,4.5,38,demo,9.5,5.8,5.0,5.3
https://example.invalid/demo/02653,Terminal Félix Adán,Escuela México Estado de Guerrero (D-482),,Filial Cruz Roja Talcahuano,Santa Isabel,Instituto Profesional ESUCOMEX Talcahuano,244,441,172,790,316,1303,0.63,7.3,30,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/00398,Pedro Medina,Golden School,Plaza Cochrane,Policlínico Chiguayante,Santa Isabel,,610,188,202,451,90,,0.78,6.0,32,demo,9.5,9.5,8.3,8.7
https://example.invalid/demo/00530,Pedro Medina,Colegio Aurora de Chile Sur,,CESFAM Pinares,Lider,,759,707,311,1177,709,,0.78,6.0,37,demo,9.5,9.5,7.2,8.8
https://example.invalid/demo/01751,Terminal Santa Rita,Escuela D-928 Manuel Blanco Encalada (ex n° 6),,Clínica Adventista,Jumbo,Instituto Santo Tomás,1123,178,197,173,387,358,0.68,3.7,34,demo,9.5,6.3,4.7,5.8
https://example.invalid/demo/02557,,,,,,,,,,,,,0.72,3.5,36,demo,9.5,7.0,5.2,6.5
https://example.invalid/demo/01234,Estación Intermodal Coronel,Escuela Javiera Carrera,,CESFAM Yobilo,SuperBodega aCuenta,,856,371,451,517,921,1952,0.7,4.0,37,demo,9.5,6.0,4.8,5.5
https://example.invalid/demo/00673,Chiguayante,Escuela José Hipólito Salas y Toro,,Cruz Roja Filial Chiguayante,Supermercado Monika,,326,301,339,579,416,,0.77,6.7,30,demo,9.5,9.5,8.5,9.5
https://example.invalid/demo/02125,Juan Pablo II,Escuela Darío Salas,,Ex Clínica Universitaria San Pedro,Supermercado Super Ganga,INACAP San Pedro de la Paz,798,269,37,1154,169,2495,0.64,8.3,33,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/02185,Juan Pablo II,"Colegio Concepción San Pedro, campus Villa",,Ex Clínica Universitaria San Pedro,Supermercado Super Ganga,INACAP San Pedro de la Paz,1002,205,233,1051,533,2347,0.67,8.2,33,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/01348,Universidad Técnica Federico Santa María,Colegio Parque Central,,Clínica Mutual de Seguridad CCHC,Jumbo,Universidad Técnica Federico Santa María,974,397,338,832,762,768,0.78,5.7,32,demo,9.5,6.5,6.0,6.2
https://example.invalid/demo/03109,,Escuela República De Panamá,Plaza Arturo Prat,CESFAM/ SAPU Bellavista,Mayorista 10,,2201,345,862,1164,567,,0.64,6.7,33,demo,9.5,7.8,7.8,7.8
https://example.invalid/demo/02637,El Arenal,Colegio San Vicente,,CESFAM San Vicente,Unimarc,Instituto Profesional ESUCOMEX Talcahuano,302,257,193,337,347,690,0.62,6.0,32,demo,9.5,9.5,8.8,9.5
https://example.invalid/demo/01307,,,,,,,,,,,,,0.67,4.3,36,demo,9.5,7.5,6.0,6.7
https://example.invalid/demo/00886,Buses Delsal,Centro de Educación de Adultos Newentun,,Clínica Kenal,Santa Isabel,Casa Central Universidad Catolica de la Santisima Concepción,449,98,215,339,130,196,0.8,5.2,40,demo,9.5,7.8,7.3,7.8
https://example.invalid/demo/00286,Pedro Medina,Colegio San Patricio,,Policlínico Chiguayante,Super Ganga,,646,131,279,225,140,,0.69,8.3,36,demo,9.5,9.5,9.2,9.5
https://example.invalid/demo/01639,Terminal Santa Rita,Escuela de Lenguaje Contigo Aprendo,Parque Cali,CESFAM Villa los Ríos,,,2417,191,311,871,1214,1930,0.56,6.5,32,demo,9.5,9.5,8.8,9.0
https://example.invalid/demo/00754,Terminal de líneas a Tomé,Colegio la Inmaculada Concepción,Plazoleta Ejercito 2,CESFAM Tucapel,Supermercado Unihue,Colegio Bautista de Concepción,212,592,98,1178,350,738,0.78,8.2,32,demo,9.5,9.5,9.0,9.5
https://example.invalid/demo/00622,Pedro Medina,Colegio de Lenguaje Senderos de BioBio,,Cruz Roja Filial Chiguayante,Super Ganga,,1011,826,684,1207,1153,,0.77,6.3,35,demo,9.5,8.7,7.5,8.2
https://example.invalid/demo/01060,,Colegio Einstein Concepcion,Plaza Perú,Centro Clínico Docente en Oftalmología,Santa Isabel,Universidad Bolivariana,553,307,206,130,157,126,0.81,3.5,27,demo,9.5,5.7,4.2,5.2
https://example.invalid/demo/01063,Terminal de Buses Jota Ewert,Colegio Gran Bretaña,Bandejón central Manuel Rodriguez,CESFAM Tucapel,Unimarc,Colegio Bautista de Concepción,470,269,207,947,335,722,0.5,8.2,32,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/02294,Juan Pablo II,Deutsche Schule Concepción,,Ex Clínica Universitaria San Pedro,Unimarc,Instituto Profesional Virginio Gómez,1774,442,578,945,600,3460,0.77,7.7,30,demo,9.5,9.5,8.3,9.5
https://example.invalid/demo/01291,Estación Intermodal Coronel,Colegio Jorge Rojas,Plazoleta Altos de Coronel,CESFAM Yobilo,Unimarc,,1387,1105,1062,1029,1301,2066,0.67,3.5,36,demo,9.5,8.2,7.2,7.5
https://example.invalid/demo/00462,Estación de buses Turbus,Colegio John F. Kennedy,Plaza Manuel Rodríguez,Cruz Roja Filial Chiguayante,Supermercado Monika,,967,627,1047,822,956,,0.66,8.3,32,demo,9.5,9.0,8.5,8.8
https://example.invalid/demo/00028,,,,,,,,,,,,,0.62,7.2,32,demo,9.5,9.5,9.0,9.5
https://example.invalid/demo/02567,,,,,,,,,,,,,0.72,6.0,36,demo,9.5,7.5,6.8,6.8
https://example.invalid/demo/00947,,Mozatschule Concepción,,SAMU,Santa Isabel,Universidad de Concepción,859,227,652,1050,1274,368,0.73,7.8,33,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/01533,Terminal de Buses Rurales Vega Techada,Colegio San Nicolás,,CESFAM Norte,Tottus,Instituto AIEP,1311,281,53,356,904,1003,0.66,3.7,35,demo,9.5,7.0,4.7,5.7
https://example.invalid/demo/02747,Hospital Las Higueras,Colegio Talcahuano,,Hospital Las Higueras,Supermercado Ganga,Universidad Católica de la Santísima Concepción Talcahuano,998,870,670,1371,797,730,0.76,4.3,42,demo,9.5,5.7,4.5,4.8
https://example.invalid/demo/01275,Laguna Quiñenco,Colegio Wenga Coronel,,CESFAM Yobilo,SuperBodega aCuenta,Centro de Estudios e Inclusión Laboral Biocor,450,324,566,770,564,2020,0.74,7.2,31,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/00219,Pedro Medina,Centro de Nivelación y de Capacitación para Adultos Madre María Nys,Plaza Pedro Medina,Policlínico Chiguayante,Super Ganga,,191,75,180,498,346,,0.69,2.8,39,demo,9.5,8.3,6.5,7.5
https://example.invalid/demo/01968,Lirquén,Escuela Penco,,CESFAM Penco,Gabito,,3290,131,109,422,150,,0.77,4.5,31,demo,9.5,5.5,4.8,4.8
https://example.invalid/demo/02384,Juan Pablo II,Colegio Santísima Trinidad,,Ex Clínica Universitaria San Pedro,Unimarc,INACAP San Pedro de la Paz,1705,119,350,966,410,2918,0.72,4.0,29,demo,9.5,8.7,6.7,7.7
https://example.invalid/demo/02168,Juan Pablo II,Colegio Santísima Trinidad,,Ex Clínica Universitaria San Pedro,Unimarc,INACAP San Pedro de la Paz,1809,322,233,983,189,3249,0.74,5.0,39,demo,9.5,6.7,5.5,5.5
https://example.invalid/demo/00748,Lorenzo Arenas,Escuela Diferencial Bao Bab,,Centro Kelluwün,Jumbo,Escuela de Suboficiales de Carabineros - Grupo Concepción,1347,491,525,593,357,1956,0.75,8.7,24,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/00408,Manquimávida,Colegio de Lenguaje Senderos de BioBio,,CESFAM Pinares,Lider,,1149,1114,630,1719,1240,,0.72,8.7,32,demo,9.5,9.5,9.2,9.5
https://example.invalid/demo/00856,Concepción,Escuela de Lenguaje Palabritas,Parque Costanera,Centro de Salud Familiar Juan Soto Fernández,Tottus,Univesidad Santo Tomás Concepción,911,738,390,564,769,1047,0.81,7.8,32,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/02312,Juan Pablo II,Colegio El Arrayán,,Ex Clínica Universitaria San Pedro,Santa Isabel,INACAP San Pedro de la Paz,954,253,165,142,522,3227,0.77,4.7,35,demo,9.5,6.7,5.5,6.3
https://example.invalid/demo/01933,Lirquén,Queen Elizabeth School,plaza los lapices,Centro de diálisis Nephrocare,Acuenta,,2630,1325,1417,1297,1252,,0.77,8.8,39,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/01678,Terminal de Buses Rurales Vega Techada,Liceo Don Orione,,CESFAM Norte,Super Ganga,Instituto AIEP,1434,680,328,1019,1052,1442,0.68,6.3,40,demo,9.5,9.5,8.5,9.5
https://example.invalid/demo/00833,Concepción,Colegio Alonso de Ercilla,Áreas verdes Esmeralda,CESFAM Pedro de Valdivia (Concepción),Super Ganga,Instituto Profesional Virginio Gómez,1129,367,554,311,611,766,0.79,3.8,28,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/01917,Lirquén,Jardin infantil y sala cuna: Lord Cochrane,,UAPO,Unimarc,,2545,117,241,284,292,,0.57,7.2,30,demo,9.5,9.5,7.5,9.5
https://example.invalid/demo/03008,,Escuela Básica Bellavista,Plaza de Bellavista,CESFAM/ SAPU Bellavista,Mayorista 10,,1460,1249,1319,1391,2479,,0.66,6.7,32,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/02691,Mercado,Liceo Almirante Pedro Espina Ritchie,Paseo Ventana al Mar,Filial Cruz Roja Talcahuano,Santa Isabel,Instituto Profesional ESUCOMEX Talcahuano,1368,759,665,699,1286,1264,0.75,8.0,32,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/00338,Estación de buses Turbus,Colegio Chileno Árabe,,Cruz Roja Filial Chiguayante,Unimarc,,3564,2880,2811,3364,3316,,0.88,8.5,33,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/02340,Juan Pablo II,Escuela Luis Alberto Acevedo,Plaza Lota,Ex Clínica Universitaria San Pedro,Super Gangas,Univesidad Santo Tomás Concepción,413,236,7,627,91,3229,0.58,5.8,31,demo,9.5,6.5,6.3,6.5
https://example.invalid/demo/01824,Terminal Santa Rita,Colegio Southern College,,CESFAM/ SAPU 2 de Septiembre,Supermercado Acuenta,Inacap Los Ángeles,2201,46,98,657,813,1167,0.75,0.0,36,demo,9.5,9.5,8.0,9.5
https://example.invalid/demo/00590,Estación de buses Turbus,Colegio John F. Kennedy,Plaza Manuel Rodríguez,Cruz Roja Filial Chiguayante,Supermercado Monika,,554,316,640,502,560,,0.77,2.2,31,demo,9.5,8.0,7.0,7.5
https://example.invalid/demo/02511,Concepción,Deutsche Schule Concepción,,CESFAM Pedro de Valdivia (Concepción),Unimarc,Instituto Profesional Virginio Gómez,2503,1667,372,1924,1852,2446,0.59,7.7,32,demo,9.5,9.5,9.0,9.5
https://example.invalid/demo/01884,Lirquén,Escuela de Lenguaje San Nicolás,,Centro de diálisis Nephrocare,Bigger,,2570,132,144,230,132,,0.6,6.2,35,demo,9.5,9.5,8.3,9.5
https://example.invalid/demo/01717,Terminal Rodoviario Los Ángeles,Escuela Clara Rebolledo de Godoy,,CESFAM NORORIENTE Los Ángeles,Unimarc,Hogar Universidad de Concepción,793,73,260,208,407,962,0.72,7.3,29,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/00833,Concepción,Colegio Alonso de Ercilla,Áreas verdes Esmeralda,CESFAM Pedro de Valdivia (Concepción),Super Ganga,Instituto Profesional Virginio Gómez,1129,367,554,311,611,766,0.79,3.8,28,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/02439,Concepción,Escuela de Lenguaje Llacolén,Parque Costanera,Centro de Salud Familiar Juan Soto Fernández,Tottus,Univesidad Santo Tomás Concepción,1513,1361,1030,1245,1424,1714,0.71,0.0,31,demo,9.5,9.5,7.2,9.5
https://example.invalid/demo/01635,Terminal Rodoviario Los Ángeles,Colegio Saint George,,CESFAM NORORIENTE Los Ángeles,El Trébol,Hogar Universidad de Concepción,564,234,275,569,196,1129,0.75,7.0,36,demo,9.5,9.5,7.5,9.5
https://example.invalid/demo/01853,Terminal Santa Rita,Pulmahue Montessori,,Complejo Asistencial Doctor Víctor Ríos Ruiz,Tottus,,1225,392,169,765,790,742,0.72,7.0,32,demo,9.5,8.5,7.5,8.2
https://example.invalid/demo/02273,Juan Pablo II,Deutsche Schule Concepción,,Ex Clínica Universitaria San Pedro,Unimarc,INACAP San Pedro de la Paz,2169,696,250,1308,587,3768,0.67,4.2,33,demo,9.5,4.5,4.2,4.2
https://example.invalid/demo/00414,Estación de buses Turbus,Colegio Concepción Chiguayante,,Cruz Roja Filial Chiguayante,Unimarc,,2557,1488,1328,2319,1748,,0.81,4.8,36,demo,9.5,8.7,5.3,8.7
https://example.invalid/demo/00102,Pedro Medina,Colegio de Lenguaje Senderos de BioBio,,Policlínico Chiguayante,Unimarc,,832,691,832,1483,1121,,0.73,0.0,30,demo,9.5,5.3,5.0,5.2
https://example.invalid/demo/00374,Manquimávida,Colegio Gabriel González Videla,,CESFAM Pinares,Santa Isabel,,1019,279,230,853,326,,0.76,4.7,38,demo,9.5,9.5,8.5,9.5
https://example.invalid/demo/01863,Terminal de Buses Rurales Vega Techada,Escuela D-886 Colonia Árabe (ex n° 97),PLaza La Araucania,CESFAM Norte,Tottus,Instituto AIEP,1045,259,311,606,763,923,0.72,7.5,40,demo,9.5,9.5,9.0,9.5
https://example.invalid/demo/00107,Pedro Medina,Centro de Nivelación y de Capacitación para Adultos Madre María Nys,Plaza Pedro Medina,Policlínico Chiguayante,Unimarc,,79,150,261,617,369,,0.71,2.8,35,demo,9.5,8.8,6.8,7.8
https://example.invalid/demo/01604,Terminal Santa Rita,Colegio Santa Teresa de Los Andes - Los Ángeles,,CESFAM Nuevo horizonte,Lider Express,Inacap Los Ángeles,3041,702,90,1146,1365,1992,0.76,4.5,34,demo,9.5,9.3,5.7,8.8
https://example.invalid/demo/01930,Lirquén,Centro Educacional Alborada,,CESFAM Penco,Gabito,,4700,1291,693,1904,1614,,0.72,6.0,32,demo,9.5,9.5,8.5,9.5
https://example.invalid/demo/02207,Estación Intermodal Concepción,Colegio Carmela Romero de Espinosa,Plaza España,Clínica podológica: Footclinic,Alimentos del Pedregal,Instituto Profesional Valle Central,413,217,233,84,179,148,0.65,4.8,26,demo,9.5,7.2,5.2,5.8
https://example.invalid/demo/00745,Buses Delsal,Colegio San Pedro Nolasco,,Centro Médico Obstétrico y Ginecológico,Jumbo,Preuniversitarios Cpech,513,184,449,275,211,284,0.78,3.0,32,demo,9.5,5.7,3.2,3.8
https://example.invalid/demo/00152,Estación de buses Turbus,Colegio John F. Kennedy,,Cruz Roja Filial Chiguayante,Supermercado Monika,,2267,1947,2031,2145,2263,,0.59,6.0,34,demo,9.5,9.5,9.3,9.5
https://example.invalid/demo/01994,Juan Pablo II,Escuela de Lenguaje Llacolén,Plaza Bellavista,Ex Clínica Universitaria San Pedro,Super Gangas,Instituto Santo Tomás,931,883,680,1477,795,2636,0.65,8.3,34,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/02492,Juan Pablo II,Deutsche Schule Concepción,,Ex Clínica Universitaria San Pedro,Unimarc,Instituto Profesional Virginio Gómez,2265,902,732,1442,956,3450,0.56,6.3,32,demo,9.5,8.8,8.8,8.8
https://example.invalid/demo/01577,Terminal Santa Rita,Instituto Profesional y Centro de Formacion Tecnica Santa Lucia E.I.R.L,,CESFAM/ SAPU Paillihue,,,2295,171,211,204,253,1779,0.74,4.2,35,demo,9.5,6.8,6.7,6.7
https://example.invalid/demo/00070,Pedro Medina,Colegio de Lenguaje Senderos de BioBio,,CESFAM Pinares,Lider,,552,553,420,1147,620,,0.66,3.7,35,demo,9.5,6.8,5.7,6.0
https://example.invalid/demo/02445,Juan Pablo II,Colegio Santísima Trinidad,,Ex Clínica Universitaria San Pedro,Unimarc,INACAP San Pedro de la Paz,1950,285,78,1136,351,3209,0.67,3.7,36,demo,9.5,5.3,4.0,4.2
https://example.invalid/demo/02955,,Escuela Básica y Adultos California,Plaza Arturo Prat,Hospital de Tomé,Acuenta,,2764,371,917,883,739,,0.61,1.2,38,demo,9.5,2.2,1.2,1.3
https://example.invalid/demo/02494,Juan Pablo II,Deutsche Schule Concepción,,Ex Clínica Universitaria San Pedro,Unimarc,Instituto Profesional Virginio Gómez,2462,1065,794,1629,1074,3564,0.5,5.7,32,demo,9.5,9.5,7.7,9.5
https://example.invalid/demo/01200,,Lycée Charles de Gaulle,Parque Ecuador,Medyks,Supermercado Versluys,Universidad de las Américas,310,7,230,186,309,232,0.79,1.0,38,demo,9.5,4.7,4.2,4.7
https://example.invalid/demo/01845,Terminal de Buses Rurales Vega Techada,Colegio PROACAP,,Hospital Mutual de Seguridad de Los Ángeles ACHS,Unimarc,Instituto AIEP,507,189,561,709,314,643,0.82,6.8,34,demo,9.5,7.7,7.3,7.7
https://example.invalid/demo/02875,,Escuela Lisa Enriqueta Peter Teubner,Parque Agustín Dagnino,Hospital de Tomé,Acuenta,,2735,464,1336,1442,1327,,0.86,2.7,28,demo,9.5,8.3,7.2,7.7
https://example.invalid/demo/01817,Terminal Santa Rita,Liceo Alemán,Plaza Pinto,Consultorio,Supermercado Unico,Universidad y CFT de Los Lagos,1260,117,253,333,513,740,0.62,7.0,32,demo,9.5,9.5,9.2,9.5
https://example.invalid/demo/01592,Terminal Rodoviario Los Ángeles,Escuela E-871 Clara Rebolledo de Godoy,,CESFAM NORORIENTE Los Ángeles,Mayorista,Hogar Universidad de Concepción,302,116,485,331,440,1255,0.69,8.5,35,demo,9.5,9.5,9.0,9.5
https://example.invalid/demo/00885,,Mozatschule Concepción,,SAMU,Colun,Universidad de Concepción,978,361,649,984,1307,345,0.66,4.0,38,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/01329,Universidad Técnica Federico Santa María,Colegio Alonkura,,CESFAM Talcahuano Sur,Alvi,Universidad Técnica Federico Santa María,1133,105,245,772,591,1072,0.81,4.0,32,demo,9.5,5.7,4.3,4.8
https://example.invalid/demo/01338,Lorenzo Arenas,Colegio Cristóbal Colón,,Sanatorio Alemán,Alvi,Universidad Técnica Federico Santa María,1396,414,129,568,323,1438,0.77,8.0,31,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/01528,Hualqui,Escuela D-600 Manuel Amat y Juniet,,CESFAM Hualqui,Unimarc,,1274,1480,1071,1456,1460,,0.74,5.7,31,demo,9.5,9.5,9.5,9.5
https://example.invalid/demo/03033,,Escuela República De Panamá,Plaza de Bellavista,CESFAM/ SAPU Bellavista,Acuenta,,1730,488,998,770,1102,,0.7,5.5,27,demo,9.5,6.8,6.7,6.8
https://example.invalid/demo/02117,Juan Pablo II,Colegio Santísima Trinidad,,Ex Clínica Universitaria San Pedro,Unimarc,INACAP San Pedro de la Paz,1783,674,604,1303,1045,2271,0.52,5.3,33,demo,9.5,8.3,6.2,6.7
https://example.invalid/demo/02399,Juan Pablo II,Deutsche Schule Concepción,,Ex Clínica Universitaria San Pedro,Unimarc,AIEP,1485,463,612,716,732,3271,0.8,1.2,30,demo,9.5,3.3,1.2,3.3
